,age_group,image_url,pic_class,pic_type,layer,age,aq,dist
2411,4,P19_image-2_type-I_class-M.JPG,class-M,type-I,4,71,15.0,0.03615168309960015
2412,4,P19_image-3_type-O_class-H.JPG,class-H,type-O,4,71,15.0,0.07868950994931978
2413,4,P19_image-4_type-I_class-C.JPG,class-C,type-I,4,71,15.0,0.22291896058695593
2414,4,P19_image-5_type-S_class-C.JPG,class-C,type-S,4,71,15.0,0.1634254235043393
2415,4,P19_image-6_type-S_class-F.JPG,class-F,type-S,4,71,15.0,1.1068185610527628
2416,2,P20_image-1_type-O_class-H.JPG,class-H,type-O,4,49,15.8536585365854,0.11425501358434897
2417,2,P20_image-2_type-I_class-F.JPG,class-F,type-I,4,49,15.8536585365854,0.3106702553620466
2418,2,P20_image-3_type-O_class-M.JPG,class-M,type-O,4,49,15.8536585365854,0.222202530914563
2419,2,P20_image-4_type-S_class-H.JPG,class-H,type-S,4,49,15.8536585365854,0.9488318201820196
2420,2,P20_image-5_type-S_class-F.JPG,class-F,type-S,4,49,15.8536585365854,0.9739049617491555
2421,2,P20_image-6_type-I_class-C.JPG,class-C,type-I,4,49,15.8536585365854,0.1907929033843675
